,Cabin,Cabinnum
0,,1
1,C78,2
2,F38,3
3,D17,4
4,F E46,5
5,D50,6
6,C31,7
7,C30,8
8,D56,9
9,C32,10
10,G6,11
11,B45,12
12,B50,13
13,C62 C64,14
14,D,15
15,B102,16
16,C28,17
17,B61,18
18,E68,19
19,F33,20
20,T,21
21,E60,22
22,A24,23
23,E63,24
24,E67,25
25,B28,26
26,B26,27
27,B24,28
28,B22,29
29,B20,30
30,B4,31
31,B5,32
32,B58 B60,33
33,B3,34
34,C39,35
35,F G73,36
36,C54,37
37,C53,38
38,C52,39
39,C51,40
40,C50,41
41,E40,42
42,F E69,43
43,E58,44
44,E50,45
45,E52,46
46,A14,47
47,B38,48
48,B39,49
49,B35,50
50,B36,51
51,B37,52
52,B30,53
53,E121,54
54,E25,55
55,E8,56
56,F G63,57
57,C45,58
58,C46,59
59,C47,60
60,E46,61
61,E44,62
62,E45,63
63,B80,64
64,E49,65
65,C49,66
66,B86,67
67,B82 B84,68
68,C23 C25 C27,69
69,D48,70
70,C104,71
71,C105,72
72,C106,73
73,C101,74
74,C103,75
75,D15,76
76,E34,77
77,E33,78
78,D11,79
79,E31,80
80,C70,81
81,B94,82
82,D19,83
83,E38,84
84,C55 C57,85
85,B10,86
86,B11,87
87,E36,88
88,B18,89
89,B19,90
90,A32,91
91,A31,92
92,A36,93
93,A34,94
94,E101,95
95,E10,96
96,C118,97
97,C116,98
98,C7,99
99,C6,100
100,C111,101
101,C110,102
102,E24,103
103,D28,104
104,E12,105
105,B57 B59 B63 B66,106
106,C68,107
107,F,108
108,D21,109
109,D20,110
110,D22,111
111,D26,112
112,E17,113
113,B52 B54 B56,114
114,C2,115
115,A20,116
116,A21,117
117,F2,118
118,A23,119
119,F4,120
120,A26,121
121,A29,122
122,B69,123
123,B42,124
124,C128,125
125,C123,126
126,C126,127
127,C124,128
128,C125,129
129,D38,130
130,B51 B53 B55,131
131,D36,132
132,D37,133
133,D34,134
134,D35,135
135,D33,136
136,D30,137
137,B96 B98,138
138,D10 D12,139
139,C93,140
140,B71,141
141,C91,142
142,B73,143
143,C97,144
144,C130,145
145,C95,146
146,C132,147
147,B78,148
148,B79,149
149,C99,150
150,A19,151
151,A18,152
152,C90,153
153,A5,154
154,A7,155
155,A6,156
156,A9,157
157,B101,158
158,C22 C26,159
159,C65,160
160,C92,161
161,D49,162
162,A16,163
163,F E57,164
164,D43,165
165,A11,166
166,D40,167
167,D47,168
168,D46,169
169,D45,170
170,A10,171
171,C80,172
172,C82,173
173,C83,174
174,B41,175
175,C85,176
176,C86,177
177,C87,178
178,C148,179
179,C89,180
180,B77,181
181,B49,182
182,D9,183
183,D6,184
184,D7,185
185,E39 E41,186
186,E77,187
